Time,APM 1 CPU,APM 1 Memory,APM 2 CPU,APM 2 Memory,APM 3 CPU,APM 3 Memory,APM 4 CPU,APM 4 Memory,APM 5 CPU,APM 5 Memory,APM 6 CPU,APM 6 Memory
650,0.0 , 0.0 ,0.0 , 0.0 ,44.1 , 0.0 ,2.1 , 0.0 ,16.6 , 7.1 ,0.0 , 5.4
656,0.0 , 0.0 ,0.0 , 0.0 ,44.1 , 0.0 ,2.1 , 0.0 ,16.8 , 7.1 ,0.0 , 5.5
661,0.0 , 0.0 ,0.0 , 0.0 ,44.1 , 0.0 ,2.1 , 0.0 ,17.0 , 7.1 ,0.0 , 5.5
667,0.0 , 0.0 ,0.0 , 0.0 ,44.2 , 0.0 ,2.1 , 0.0 ,17.3 , 7.1 ,0.0 , 5.7
673,0.0 , 0.0 ,0.0 , 0.0 ,44.2 , 0.0 ,2.1 , 0.0 ,17.4 , 0.0 ,0.0 , 5.7
678,0.0 , 0.0 ,0.0 , 0.0 ,44.6 , 0.0 ,2.1 , 0.0 ,17.3 , 0.0 ,0.0 , 5.7
684,0.0 , 0.0 ,0.0 , 0.0 ,45.0 , 0.0 ,2.1 , 0.0 ,17.2 , 0.0 ,0.0 , 5.8
689,0.0 , 0.0 ,0.0 , 0.0 ,45.4 , 0.0 ,2.1 , 0.0 ,17.0 , 0.0 ,0.0 , 5.8
694,0.0 , 0.0 ,0.0 , 0.0 ,45.8 , 0.0 ,2.1 , 0.0 ,16.9 , 0.0 ,0.0 , 5.8
700,0.0 , 0.0 ,0.0 , 0.0 ,45.5 , 0.0 ,2.1 , 0.0 ,16.8 , 0.0 ,0.0 , 5.8
705,0.0 , 0.0 ,0.0 , 0.0 ,45.2 , 0.0 ,2.1 , 0.0 ,16.6 , 0.0 ,0.0 , 5.9
710,0.0 , 0.0 ,0.0 , 0.0 ,44.9 , 0.0 ,2.1 , 0.0 ,16.5 , 0.0 ,0.0 , 5.9
715,0.0 , 0.0 ,0.0 , 0.0 ,44.6 , 0.0 ,2.1 , 0.0 ,16.4 , 0.0 ,0.0 , 6.0
720,0.0 , 0.0 ,0.0 , 0.0 ,44.2 , 0.0 ,2.1 , 0.0 ,16.3 , 0.0 ,0.0 , 6.0
725,0.0 , 0.0 ,0.0 , 0.0 ,43.9 , 0.0 ,2.1 , 0.0 ,16.2 , 0.0 ,0.0 , 6.0
730,0.0 , 0.0 ,0.0 , 0.0 ,43.6 , 0.0 ,2.1 , 0.0 ,16.1 , 0.0 ,0.0 , 6.1
736,0.0 , 0.0 ,0.0 , 0.0 ,43.3 , 0.0 ,2.1 , 0.0 ,15.9 , 0.0 ,0.0 , 6.1
741,0.0 , 0.0 ,0.0 , 0.0 ,43.1 , 0.0 ,2.1 , 0.0 ,16.2 , 7.8 ,0.0 , 6.2
746,0.0 , 0.0 ,0.0 , 0.0 ,43.1 , 0.0 ,2.1 , 0.0 ,16.4 , 7.8 ,0.0 , 6.2
752,0.0 , 0.0 ,0.0 , 0.0 ,43.1 , 0.0 ,2.1 , 0.0 ,16.6 , 7.8 ,0.0 , 6.2
758,0.0 , 0.0 ,0.0 , 0.0 ,43.1 , 0.0 ,2.1 , 0.0 ,16.8 , 7.8 ,0.0 , 6.2
763,0.0 , 0.0 ,0.0 , 0.0 ,43.2 , 0.0 ,2.1 , 0.0 ,17.0 , 7.8 ,0.0 , 6.2
769,0.0 , 0.0 ,0.0 , 0.0 ,43.2 , 0.0 ,2.1 , 0.0 ,17.3 , 7.8 ,0.0 , 6.3
774,0.0 , 0.0 ,0.0 , 0.0 ,43.2 , 0.0 ,2.1 , 0.0 ,17.5 , 7.8 ,0.0 , 6.3
780,0.0 , 0.0 ,0.0 , 0.0 ,43.4 , 0.0 ,2.1 , 0.0 ,17.6 , 0.0 ,0.0 , 6.4
